"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Orig. Open price";"Orig. Open time";"Stop Loss price level";"Profit Target price level";"Result name";"MAE (pips)";"MFE (pips)"
"440";"EURUSD_M1_UTC2";"Sell";"2020.01.23 17:31:00";"1.10462";"0,01000";"2020.01.24 19:00:00";"1.10279";"1,83";"501,83";"IST";"End Of Friday (Time)";"-1,75";"2,47";"1d 1h 29m";"";"1.10462";"2020.01.23 17:00:00";"1,10762";"1,09062";"Main: EURUSD_M1_UTC2/M15";"17,50";"24,70"
"841";"EURUSD_M1_UTC2";"Buy";"2020.02.20 16:06:00";"1.08212";"0,01000";"2020.02.20 18:24:00";"1.07902";"-3,10";"498,73";"IST";"SL";"-3,10";"0,00";"2h 18m";"";"1.08212";"2020.02.20 15:00:00";"1,07912";"1,09612";"Main: EURUSD_M1_UTC2/M15";"31,00";"0,00"
"877";"EURUSD_M1_UTC2";"Buy";"2020.02.21 16:49:00";"1.08437";"0,01000";"2020.02.21 19:00:00";"1.08532";"0,95";"499,68";"IST";"End Of Friday (Time)";"-0,97";"1,98";"2h 11m";"";"1.08437";"2020.02.21 15:45:00";"1,08137";"1,09837";"Main: EURUSD_M1_UTC2/M15";"9,70";"19,80"
"2335";"EURUSD_M1_UTC2";"Buy";"2020.04.30 17:55:00";"1.09225";"0,01000";"2020.05.01 19:00:00";"1.09967";"7,42";"507,10";"IST";"End Of Friday (Time)";"-0,18";"9,62";"1d 1h 5m";"";"1.09225";"2020.04.30 16:45:00";"1,08925";"1,10625";"Main: EURUSD_M1_UTC2/M15";"1,80";"96,20"
"2979";"EURUSD_M1_UTC2";"Buy";"2020.06.02 12:11:00";"1.11864";"0,01000";"2020.06.02 14:26:00";"1.11554";"-3,10";"504,00";"IST";"SL";"-3,10";"0,13";"2h 15m";"";"1.11864";"2020.06.02 11:00:00";"1,11564";"1,13264";"Main: EURUSD_M1_UTC2/M15";"31,00";"1,30"
"3169";"EURUSD_M1_UTC2";"Buy";"2020.06.09 16:57:00";"1.13520";"0,01000";"2020.06.10 17:55:00";"1.13497";"-0,23";"503,77";"IST";"TrailingStop";"-2,09";"3,74";"1d 0h 58m";"";"1.13520";"2020.06.09 16:00:00";"1,13220";"1,14920";"Main: EURUSD_M1_UTC2/M15";"20,90";"37,40"
"5013";"EURUSD_M1_UTC2";"Buy";"2020.08.27 16:07:00";"1.18592";"0,01000";"2020.08.27 16:09:00";"1.18282";"-3,10";"500,67";"IST";"SL";"-3,10";"1,62";"2m 0s";"";"1.18592";"2020.08.27 15:45:00";"1,18292";"1,19992";"Main: EURUSD_M1_UTC2/M15";"31,00";"16,20"
"5931";"EURUSD_M1_UTC2";"Sell";"2020.10.13 17:08:00";"1.17474";"0,01000";"2020.10.14 15:18:00";"1.17588";"-1,14";"499,53";"IST";"TrailingStop";"-1,14";"2,55";"22h 10m";"";"1.17474";"2020.10.13 16:00:00";"1,17774";"1,16074";"Main: EURUSD_M1_UTC2/M15";"11,40";"25,50"
"6749";"EURUSD_M1_UTC2";"Sell";"2020.11.23 17:12:00";"1.18395";"0,01000";"2020.11.23 22:04:00";"1.18496";"-1,01";"498,52";"IST";"TrailingStop";"-1,01";"3,78";"4h 52m";"";"1.18395";"2020.11.23 16:15:00";"1,18695";"1,16995";"Main: EURUSD_M1_UTC2/M15";"10,10";"37,80"
"7360";"EURUSD_M1_UTC2";"Buy";"2020.12.16 10:34:00";"1.21976";"0,01000";"2020.12.16 18:28:00";"1.21727";"-2,49";"496,03";"IST";"TrailingStop";"-2,49";"1,45";"7h 54m";"";"1.21976";"2020.12.16 09:30:00";"1,21676";"1,23376";"Main: EURUSD_M1_UTC2/M15";"24,90";"14,50"
"8609";"EURUSD_M1_UTC2";"Sell";"2021.02.16 15:58:00";"1.21101";"0,01000";"2021.02.18 10:45:00";"1.20647";"4,54";"500,57";"IST";"TrailingStop";"-1,57";"8,49";"1d 18h 47m";"";"1.21101";"2021.02.16 14:45:00";"1,21401";"1,19701";"Main: EURUSD_M1_UTC2/M15";"15,70";"84,90"
"8743";"EURUSD_M1_UTC2";"Sell";"2021.02.24 15:18:00";"1.21350";"0,01000";"2021.02.24 20:42:00";"1.21521";"-1,71";"498,86";"IST";"TrailingStop";"-1,71";"2,38";"5h 24m";"";"1.21350";"2021.02.24 14:30:00";"1,21650";"1,19950";"Main: EURUSD_M1_UTC2/M15";"17,10";"23,80"
"9152";"EURUSD_M1_UTC2";"Buy";"2021.03.17 21:36:00";"1.19676";"0,01000";"2021.03.18 10:44:00";"1.19501";"-1,75";"497,11";"IST";"TrailingStop";"-1,75";"2,12";"13h 8m";"";"1.19676";"2021.03.17 20:45:00";"1,19376";"1,21076";"Main: EURUSD_M1_UTC2/M15";"17,50";"21,20"
"9610";"EURUSD_M1_UTC2";"Buy";"2021.04.13 15:45:00";"1.19359";"0,01000";"2021.04.16 05:11:00";"1.19506";"1,47";"498,58";"IST";"TrailingStop";"-1,59";"5,73";"2d 13h 26m";"";"1.19359";"2021.04.13 14:45:00";"1,19059";"1,20759";"Main: EURUSD_M1_UTC2/M15";"15,90";"57,30"
"9650";"EURUSD_M1_UTC2";"Buy";"2021.04.19 10:50:00";"1.20166";"0,01000";"2021.04.20 15:31:00";"1.20406";"2,40";"500,98";"IST";"TrailingStop";"-0,54";"6,31";"1d 4h 41m";"";"1.20166";"2021.04.19 10:00:00";"1,19866";"1,21566";"Main: EURUSD_M1_UTC2/M15";"5,40";"63,10"
"9882";"EURUSD_M1_UTC2";"Buy";"2021.04.28 21:36:00";"1.21167";"0,01000";"2021.04.29 10:54:00";"1.21129";"-0,38";"500,60";"IST";"TrailingStop";"-0,91";"3,31";"13h 18m";"";"1.21167";"2021.04.28 20:45:00";"1,20867";"1,22567";"Main: EURUSD_M1_UTC2/M15";"9,10";"33,10"
"10113";"EURUSD_M1_UTC2";"Sell";"2021.05.12 17:15:00";"1.20817";"0,01000";"2021.05.13 10:11:00";"1.21041";"-2,24";"498,36";"IST";"TrailingStop";"-2,24";"1,42";"16h 56m";"";"1.20817";"2021.05.12 16:15:00";"1,21117";"1,19417";"Main: EURUSD_M1_UTC2/M15";"22,40";"14,20"
"10779";"EURUSD_M1_UTC2";"Sell";"2021.06.16 21:00:00";"1.20908";"0,01000";"2021.06.17 10:30:00";"1.19508";"14,00";"512,36";"IST";"PT";"0,00";"14,00";"13h 30m";"";"1.20908";"2021.06.16 21:00:00";"1,21208";"1,19508";"Main: EURUSD_M1_UTC2/M15";"0,00";"140,00"
"11285";"EURUSD_M1_UTC2";"Sell";"2021.07.13 15:52:00";"1.18015";"0,01000";"2021.07.13 17:27:00";"1.18323";"-3,08";"509,28";"IST";"TrailingStop";"-3,08";"0,78";"1h 35m";"";"1.18015";"2021.07.13 14:45:00";"1,18315";"1,16615";"Main: EURUSD_M1_UTC2/M15";"30,80";"7,80"
"11508";"EURUSD_M1_UTC2";"Buy";"2021.07.22 16:16:00";"1.18294";"0,01000";"2021.07.22 17:10:00";"1.17984";"-3,10";"506,18";"IST";"SL";"-3,10";"0,10";"54m 0s";"";"1.18294";"2021.07.22 15:30:00";"1,17994";"1,19694";"Main: EURUSD_M1_UTC2/M15";"31,00";"1,00"
"11841";"EURUSD_M1_UTC2";"Sell";"2021.08.04 17:06:00";"1.18593";"0,01000";"2021.08.06 19:00:00";"1.17634";"9,59";"515,77";"IST";"End Of Friday (Time)";"-0,71";"10,24";"2d 1h 54m";"";"1.18593";"2021.08.04 17:00:00";"1,18893";"1,17193";"Main: EURUSD_M1_UTC2/M15";"7,10";"102,40"
"12705";"EURUSD_M1_UTC2";"Sell";"2021.09.22 21:00:00";"1.17078";"0,01000";"2021.09.22 21:00:00";"1.17388";"-3,10";"512,67";"IST";"SL";"-3,10";"0,11";"0s";"";"1.17078";"2021.09.22 21:00:00";"1,17378";"1,15678";"Main: EURUSD_M1_UTC2/M15";"31,00";"1,10"
"12704";"EURUSD_M1_UTC2";"Buy";"2021.09.22 21:05:00";"1.17506";"0,01000";"2021.09.22 21:39:00";"1.17196";"-3,10";"509,57";"IST";"SL";"-3,10";"0,49";"34m 0s";"";"1.17506";"2021.09.22 21:00:00";"1,17206";"1,18906";"Main: EURUSD_M1_UTC2/M15";"31,00";"4,90"
"12707";"EURUSD_M1_UTC2";"Sell";"2021.09.22 22:00:00";"1.16882";"0,01000";"2021.09.23 09:31:00";"1.17192";"-3,10";"506,47";"IST";"SL";"-3,10";"0,28";"11h 31m";"";"1.16882";"2021.09.22 21:45:00";"1,17182";"1,15482";"Main: EURUSD_M1_UTC2/M15";"31,00";"2,80"
"13440";"EURUSD_M1_UTC2";"Buy";"2021.10.28 15:43:00";"1.16202";"0,01000";"2021.10.29 11:35:00";"1.16530";"3,28";"509,75";"IST";"TrailingStop";"-0,43";"7,19";"19h 52m";"";"1.16202";"2021.10.28 15:30:00";"1,15902";"1,17602";"Main: EURUSD_M1_UTC2/M15";"4,30";"71,90"
"13639";"EURUSD_M1_UTC2";"Sell";"2021.11.10 17:43:00";"1.15166";"0,01000";"2021.11.12 19:00:00";"1.14454";"7,12";"516,87";"IST";"End Of Friday (Time)";"-2,00";"8,18";"2d 1h 17m";"";"1.15166";"2021.11.10 17:00:00";"1,15466";"1,13766";"Main: EURUSD_M1_UTC2/M15";"20,00";"81,80"
"13671";"EURUSD_M1_UTC2";"Sell";"2021.11.15 19:24:00";"1.13906";"0,01000";"2021.11.17 09:27:00";"1.13175";"7,31";"524,18";"IST";"TrailingStop";"-0,29";"12,51";"1d 14h 3m";"";"1.13906";"2021.11.15 18:45:00";"1,14206";"1,12506";"Main: EURUSD_M1_UTC2/M15";"2,90";"125,10"
"13798";"EURUSD_M1_UTC2";"Buy";"2021.11.26 10:34:00";"1.12788";"0,01000";"2021.11.26 10:58:00";"1.12478";"-3,10";"521,08";"IST";"SL";"-3,10";"0,00";"24m 0s";"";"1.12788";"2021.11.26 10:00:00";"1,12488";"1,14188";"Main: EURUSD_M1_UTC2/M15";"31,00";"0,00"
"13881";"EURUSD_M1_UTC2";"Sell";"2021.11.30 17:57:00";"1.12606";"0,01000";"2021.11.30 18:50:00";"1.12916";"-3,10";"517,98";"IST";"SL";"-3,10";"2,37";"53m 0s";"";"1.12606";"2021.11.30 17:15:00";"1,12906";"1,11206";"Main: EURUSD_M1_UTC2/M15";"31,00";"23,70"
"14547";"EURUSD_M1_UTC2";"Sell";"2021.12.28 16:54:00";"1.12943";"0,01000";"2021.12.29 15:22:00";"1.13149";"-2,06";"515,92";"IST";"TrailingStop";"-2,85";"1,86";"22h 28m";"";"1.12943";"2021.12.28 16:00:00";"1,13243";"1,11543";"Main: EURUSD_M1_UTC2/M15";"28,50";"18,60"
"15330";"EURUSD_M1_UTC2";"Buy";"2022.02.03 16:00:00";"1.13694";"0,01000";"2022.02.04 15:30:00";"1.14446";"7,52";"523,44";"IST";"TrailingStop";"0,00";"11,43";"23h 30m";"";"1.13694";"2022.02.03 15:30:00";"1,13394";"1,15094";"Main: EURUSD_M1_UTC2/M15";"0,00";"114,30"
"15479";"EURUSD_M1_UTC2";"Sell";"2022.02.10 15:32:00";"1.14027";"0,01000";"2022.02.10 17:02:00";"1.14218";"-1,91";"521,53";"IST";"TrailingStop";"-1,91";"2,59";"1h 30m";"";"1.14027";"2022.02.10 15:30:00";"1,14327";"1,12627";"Main: EURUSD_M1_UTC2/M15";"19,10";"25,90"
"15480";"EURUSD_M1_UTC2";"Buy";"2022.02.10 18:12:00";"1.14795";"0,01000";"2022.02.10 19:46:00";"1.14534";"-2,61";"518,92";"IST";"TrailingStop";"-2,61";"1,53";"1h 34m";"";"1.14795";"2022.02.10 17:15:00";"1,14495";"1,16195";"Main: EURUSD_M1_UTC2/M15";"26,10";"15,30"
"16942";"EURUSD_M1_UTC2";"Buy";"2022.05.04 21:48:00";"1.06090";"0,01000";"2022.05.05 09:35:00";"1.05948";"-1,42";"517,50";"IST";"TrailingStop";"-2,72";"3,27";"11h 47m";"";"1.06090";"2022.05.04 20:45:00";"1,05790";"1,07490";"Main: EURUSD_M1_UTC2/M15";"27,20";"32,70"
"17671";"EURUSD_M1_UTC2";"Sell";"2022.06.09 16:25:00";"1.06829";"0,01000";"2022.06.10 15:32:00";"1.05429";"14,00";"531,50";"IST";"PT";"-2,50";"14,00";"23h 7m";"";"1.06829";"2022.06.09 15:30:00";"1,07129";"1,05429";"Main: EURUSD_M1_UTC2/M15";"25,00";"140,00"
"18131";"EURUSD_M1_UTC2";"Sell";"2022.07.05 12:01:00";"1.03040";"0,01000";"2022.07.06 09:55:00";"1.02764";"2,76";"534,26";"IST";"TrailingStop";"-2,26";"6,70";"21h 54m";"";"1.03040";"2022.07.05 11:00:00";"1,03340";"1,01640";"Main: EURUSD_M1_UTC2/M15";"22,60";"67,00"
"18854";"EURUSD_M1_UTC2";"Buy";"2022.08.10 15:30:00";"1.03123";"0,01000";"2022.08.10 19:22:00";"1.03190";"0,67";"534,93";"IST";"TrailingStop";"-0,76";"5,62";"3h 52m";"";"1.03123";"2022.08.10 14:45:00";"1,02823";"1,04523";"Main: EURUSD_M1_UTC2/M15";"7,60";"56,20"
"18997";"EURUSD_M1_UTC2";"Sell";"2022.08.18 16:44:00";"1.01309";"0,01000";"2022.08.19 19:00:00";"1.00399";"9,10";"544,03";"IST";"End Of Friday (Time)";"-1,05";"9,41";"1d 2h 16m";"";"1.01309";"2022.08.18 16:00:00";"1,01609";"0,99909";"Main: EURUSD_M1_UTC2/M15";"10,50";"94,10"
"20065";"EURUSD_M1_UTC2";"Sell";"2022.10.13 15:30:00";"0.96604";"0,01000";"2022.10.13 16:48:00";"0.96867";"-2,63";"541,40";"IST";"TrailingStop";"-2,63";"2,69";"1h 18m";"";"0.96604";"2022.10.13 14:30:00";"0,96904";"0,95204";"Main: EURUSD_M1_UTC2/M15";"26,30";"26,90"
"20447";"EURUSD_M1_UTC2";"Sell";"2022.11.02 22:20:00";"0.98483";"0,01000";"2022.11.03 17:25:00";"0.97733";"7,50";"548,90";"IST";"TrailingStop";"-0,40";"11,64";"19h 5m";"";"0.98483";"2022.11.02 21:15:00";"0,98783";"0,97083";"Main: EURUSD_M1_UTC2/M15";"4,00";"116,40"
"21045";"EURUSD_M1_UTC2";"Sell";"2022.11.30 18:00:00";"1.02931";"0,01000";"2022.11.30 18:40:00";"1.03241";"-3,10";"545,80";"IST";"SL";"-3,10";"0,11";"40m 0s";"";"1.02931";"2022.11.30 17:00:00";"1,03231";"1,01531";"Main: EURUSD_M1_UTC2/M15";"31,00";"1,10"
"21370";"EURUSD_M1_UTC2";"Buy";"2022.12.13 15:30:00";"1.06152";"0,01000";"2022.12.13 17:48:00";"1.06236";"0,84";"546,64";"IST";"TrailingStop";"-0,86";"5,79";"2h 18m";"";"1.06152";"2022.12.13 14:45:00";"1,05852";"1,07552";"Main: EURUSD_M1_UTC2/M15";"8,60";"57,90"
"21444";"EURUSD_M1_UTC2";"Buy";"2022.12.15 16:13:00";"1.07252";"0,01000";"2022.12.15 16:36:00";"1.06942";"-3,10";"543,54";"IST";"SL";"-3,10";"1,09";"23m 0s";"";"1.07252";"2022.12.15 15:00:00";"1,06952";"1,08652";"Main: EURUSD_M1_UTC2/M15";"31,00";"10,90"
